Sentence, Probility
 但 却 不 像是 细菌 导致 的 软 组织 消 溶 ,4.8048014904510053e-20
 反而 更 像是 某种 快速 的 化学 或 生物 过程 导致 的 结果 — — 这 曾 让 官方 联想 到 了 恶性 疾病 ,8.123415876751094e-49
 并且 针对 当地 进行 了 一次 低调 的 传染病 排 查 — — 但 更加 严格 病理 检查 却 没有 揭露 任何 可能 导致 这种 现象 的 病原体 ,5.438920313851228e-55
 除开 尸体 的 谜团 外 ,3.726688793288545e-07
 附近 的 居民 也 反映 了 一些 奇怪 的 事情 ,5.942324323642064e-19
 例如 有 几位 居民 在 尸体 被 发现 的 前 两天 晚上 听见 劳 铭 昌 所 居住 的 楼 房里 传来 了 某种 尖锐 而 又 有 节奏 的 古怪 哨音 ； 还 有人 提到 在 事发 前 的 几个 月 里 ,2.6905261982845914e-79
 劳 铭 昌 曾经 和 一个 陌生 的 年轻人 有过 密切 来往 — — 但 民警 调 取 了 尸体 发现 前 那 几天 的 监控 录像 ,1.0891702594078018e-49
 却 没有 发现 任何 可疑 的 人 在 大院 附近 活动 ,8.292704393946547e-20
 然而 由于 缺少 实质性 的 线索 和 证据 ,1.4249813332502455e-16
 警方 最终 还是 搁置 了 调查 工作 ,9.633051036047675e-13
 将 之 定 为 非暴力 死亡 ,3.496995215940909e-11
 并 封存 了 案卷 ,3.052933007479463e-08
 说到底 ,1
 死者 只是 个 没有 子女 ,4.983720813994171e-10
 也 很少 与 邻居 来往 的 古怪 老头 ,1.2799214538815087e-15
 而 大多数 人 也 下意识 地 将 这桩 案件 当 一桩 不幸 的 悲剧 匆匆 略 过 了 ,1.8866710106399993e-30
 根据 警方 在 房间 里 找到 的 遗嘱 ,2.460127194353787e-17
 劳 铭 昌 收集 整理 的 藏书 ,1.973259448772792e-09
 笔记 以及 其他 所有 文件 全都 捐 献给 他 生前 工作 过 的 单位 — — 山东省 文物 考古 院 ； 而 余下 的 财物 则 在 变卖 后 捐赠 给 了 各个 文物 保护 基金会 ,6.112684032839817e-70
 由于 没有 找到 任何 法定 继承人 ,3.106847734455076e-11
 遗产 处理 得 非常 顺利 ,1.3283904022161304e-08
 事情 原本 此 就 该 结束 了 ,1.2287183873960634e-13
 但 这桩 案子 其实 还 牵扯 出 了 一系列 不 那么 直接 相关 的 后续 ,8.093695402404436e-29
 例如 ： 劳 铭 昌 的 日记 与 文件 在 被 移送 到 山东省 文物 考古 院 后 引起 了 一些 非常 激烈 的 争论 — — 但是 这些 争论 始终 被 局限 在 一个 很小 的 圈子 里 ,1.7766950981198783e-76
 而且 一直 不得要领 ； 2014 年 2 月 — — 劳 铭 昌 的 遗物 被 移交 给 考古 院 的 四个 月 后 — — 几个 山东省 文物 考古 院 的 研究员 还 曾 回到 了 劳 铭 昌 的 故居 ,1.0756474739700573e-78
 详细 检查 了 整座 房子 ,2.0546518831169036e-08
 然后 又 带走 几 箱 文件 ； 一个月 后 ,1.3938343339650356e-15
 青岛 市 公安局 调集 警 力 对 当地 — — 主要 是 信号 山 公园 那一 带 的 街区 — — 进行 了 一次 突然 的 搜捕 行动 ,4.1868728682763474e-51
 但 却 没有 公布 行动 的 原因 与 结果 ； 4 月初 ,3.0371347605841716e-25
 市 南 区 住 建 局 对 劳 铭 昌 的 故居 进行 了 一次 全面 检查 ,2.2152436250681987e-32
 认定 其 属于 危 房 ,1.1466668576982128e-06
 就此 撤销 了 房屋 的 交易 许可 ,6.05386249037813e-14
 并且 表示 在 得到 妥善 修葺 前 这座 房子 不能 再 用于 居住 ,1.1998037480102886e-25
 至于 这些 事情 背后 的 真相 ,3.830864755853814e-11
 读者 需要 做出 自己 的 判断 ,2.225592332042326e-12
 作为 一个 检查 了 所有 证据 ,1.0634850902260262e-12
 并且 深入 分析 过 笔记 内容 的 参与者 ,5.610141679812713e-17
 我 只能 从事 件 主角 所 留下 的 日记 与 文件 出发 ,3.6254148246425035e-25
 结合 自己 掌握 的 情况 与 推测 ,1.4030385299917825e-15
 对 整件 事情 做 一个 完整 的 叙述 ,1.1283883892200504e-16
 劳 铭 昌 祖籍 青岛 ,0.020008333333333326
 1942 年 9 月 20 日 出生 在 重庆 ,1.4809660789234636e-13
 是 家中 的 独子 ,1.873792442859487e-10
 他 的 父亲 名叫 劳 传 林 ,7.096542786442897e-11
 曾经 做过 唐 君 尧 的 副官 ； 母亲 名叫 陈 瑜 ,1.3424083283024872e-19
 身世 不详 ,0.27999999999999997
 只 知道 是 奉 天 人 ,7.376273676136412e-12
 1945 年 10 月 ,8.72773536895674e-05
 劳 铭 昌 三岁 的 时候 ,0.0001416659337115381
 他 的 父亲 劳 传 林 跟随 唐 君 尧 去 了 青岛 展开 日 军 受降 工作 ,1.8736082383125373e-28
 46 年 2 月 第 十一 战区 副 司令 长官 部 驻 青 办事处 撤销 后 ,6.800289522955287e-23
 劳 传 林 又 想 办法 调到 了 李 先 良 手下 做事 ,6.58374954543672e-22
 并且 找 机会 将 劳 铭 昌 与 妻子 陈 氏 也 都 接到 了 青岛 ,3.645365468248547e-30
 49 年 1 月 ,4.712977099236641e-05
 陈 氏 因为 意外 去世 ； 4 月 济南 战役 结束 后 ,9.208828971954117e-20
 劳 传 林带 着 6 岁 劳 铭 昌 悄悄 投诚 了解 放 军 ,7.154892230715911e-16
 而后 在 济南 定居 了 下来 ,2.3638689512439496e-10
 1963 年 劳 传 林 因 病 去世 ； 64 年 劳 铭 昌 下乡 插队 去 了 历 城 ,4.8147035553959835e-28
 并且 在 十年 动乱 期间 因为 家庭 成分 问题 在 吃 了 不少 苦头 ,4.7019887995778165e-28
 77 年 恢复 高考 后 ,1.4171322892893677e-06
 他 考 进 了 山东 大学 历史 系 ,1.1076073746952843e-16
 84 年 硕士 毕业 后 进入 了 山东省 文物 考古 院 ,5.579002873977852e-18
 然后 就 一直 工作 到 2007 年 退休 ,1.0709933606317201e-16
 为了 疗养 身体 ,0.002
 劳 铭 昌 于 2008 年 春天 搬到 了 青岛 ,1.194693450356213e-13
 在 鱼 山 路上 的 一栋 五 层 小楼 里 租 住 了 一套 房间 ,5.058849332450303e-28
 那栋 小楼 坐落 在 小 鱼 山西 北面 的 山坡 上 ,1.9364490708727317e-15
 紧邻 着 青岛 海洋 大学 ,5.036106561057351e-07
 我 曾 很多 次 路过 它 的 门前 ,3.5765417097369874e-17
 那 是 一块 非常 迷人 的 住处 ,3.679656788925801e-14
 周边 的 环境 宁静 而 祥和 ,7.49974571783511e-12
 鲜有 车辆 往来 ,0.006621621621621622
 小楼 门前 是从 小 鱼 山 山顶 一路 曲折 蜿蜒 下来 的 鱼 山路 ,1.9165078935832826e-20
 街 的 对面 则 是 大学 校园 那 覆盖 着 茂密 爬山虎 的 乳 黄色 围墙 ,3.7216381525575444e-29
 校园 里 那些 古朴 而 雅致 的 砖 红色 欧 式 屋顶 则 若 隐 若 现地 从 郁郁葱葱 的 围 墙上 露出 可爱 的 一角 ,6.497538024879944e-45
 惹 人 想要 一探 究竟 ,5.439205046929851e-06
 沿着 勉强 能够 容纳 两 车 并行 的 鱼 山路 走 下去 ,2.241412117092225e-21
 拐过 一个 小 弯 就 能 抵达 青岛 海洋 大学 的 正门 ,1.8356278829950602e-22
 正门 里 是 一片 茂盛 的 松柏 矮树 ,3.116122387327905e-14
 而 矮树 后面 则 耸立着 一座 修建 于 日 占 时期 的 仿 欧 式 建筑 — — 它 有着 刷 成 米 黄色 的 花岗岩 外墙 ,9.252096262439578e-49
 典型 的 欧 式 橘 红色 瓦 搭 屋顶 ,2.569757881508542e-13
 别致 的 弧形 楣 饰 ,8.21251789632105e-06
 以及 一座 高耸 在 正 当中 ,5.070233685421156e-12
 混杂 了 东西 方 建筑风格 的 平 顶 塔楼 ,5.543155358059155e-18
 经过 大学 校门 ,1.712807606263982e-05
 沿着 围墙 继续 走 下去 ,6.304871110333054e-08
 就会 来到 一个 岔路 口 ,9.193646198742237e-07
 从 岔路 往 南 ,2.2926389912388425e-06
 经过 几座 更加 现代化 的 大厦 就 能 抵达 人来人往 的 热闹 海滩 ； 而 向东 则 会 沿着 静 谧 的 街道 与 参天 的 美 桐 树 一 步步 走进 一个 充满 了 红色 复折式 屋顶 ,1.3923783074369848e-71
 精致 石砌 拱券 ,0.1633333333333333
 粗糙 花岗岩 外墙 以及 凹凸 砖 石 路面 的 古老 世界 ,3.1997169118161185e-14
 如同 时光 静止 ,0.0005164690382081686
 世界 始终 一尘 不变 一般 ,1.1357481581343644e-05
 然而 对于 劳 铭 昌 而言 ,1.0211589580010629e-06
 这些 让 人 恍惚 间 觉得 还 停留 在 上个世纪 初 的 风景 ,2.2201539752038655e-25
 还有 着 更深 的 触动 ,1.7078220811270495e-11
 他 记得 自己 的 父亲 曾 说 过 ,1.4734361250159713e-15
 他 的 祖父 名叫 劳 斯 惟 ,1.0822227749325418e-09
 就 出生 在 青岛 — — 当时 这座 城市 还是 德国人 的 租界 ,6.12504790102666e-27
 因此 这些 百年 前 见证 过 自己 祖辈 的 古老 建筑 激发 了 他 的 无穷 想象 ,4.1117876349433085e-34
 由于 始终 没有 娶 妻 生 子 ,1.8979284285993405e-11
 根 植 在 中国人 心底 的 家族 观念 逐渐 以 另 一种 形式 表现 了 出来 — — 他 开始 沉迷在 自己 的 家族 历史 里 ,3.369027586823863e-49
 并且 越来越 渴望 了解 与 自己 的 祖先 ,5.041941736271388e-16
 然而 这 并非 是 件 易 事 ,1.733142308028344e-13
 他 的 祖父 虽然 出生 在 青岛 ,3.569397881281192e-14
 但 早 在 五 六 岁 的 时候 就 被 曾祖父 送 去 了 东北 ,5.984474745313253e-30
 托 付给 了 生意 上 的 友人 ,1.2692757707447945e-13
 由于 兵荒马乱 加上 年纪 太小 ,2.6606826241134744e-05
 祖父 与 家族 的 联系 很快 就 断开 了 ,1.1435457749705705e-15
 因此 祖父 对 家族 里 的 长辈 没有 太 深刻 的 记忆 ,7.757217947820429e-24
 再 加上 他 的 祖父 过世 得 很少 ,2.710389455492363e-13
 所以 能 辗转 传递 给 劳 铭 昌 的 记忆 就 更 少 了 ,3.568652961905649e-23
 为此 劳 铭 昌 将 时间 都 花 在 了 青岛 市 档案馆 和 青岛 市 文物 保护 考古 研究所 里 ,3.294159931109961e-37
 试图 从 公众 的 记录 里 挖掘出 有关 自己 家族 的 信息 — — 08 年 9 月份 的 时候 ,6.67468443055944e-37
 他 甚至 还 利用 自己 在 山东省 考古 院 的 工作 经历 在 市 档案馆 里 谋 到 了 一份 修 裱 文书 的 兼职 ,3.4857618446766614e-51
 以便 自己 能够 接触 到 那些 还 没有 完成 分类 编排 ,2.3748837342798275e-22
 暂时 不能 供给 公众 查阅 的 历史 档案 ,2.570058407697718e-13
 这些 努力 并 没有 白费 ,2.074392954371605e-10
 劳 铭 昌 将 他 在 这段 时期 内 发现 的 所有 信息 都 详细 地 摘抄 了 下来 ,2.2123273083591132e-35
 并且 整理 编写 进 了 自己 的 笔记 里 — — 在 他 死后 ,3.0456801554442516e-25
 这些 笔记 又 一件 不 落地 送到 了 山东省 文物 考古 院 ,2.630319978923133e-22
 并 被 相关 的 工作人员 悉 数 整理 了 出来 ,1.0840775269448873e-17
 虽然 其中 的 大多数 都 记录 非常 繁复 和 琐碎 ,6.204579232627409e-21
 但 由于 它们 和 发生 在 劳 铭 昌 身上 事情 有着 莫大 的 联系 ,7.47120362238134e-28
 因此 我 仍 有 必要 对 这些 材料 进行 一个 大概 的 叙述 ,1.4271609832471615e-30
 按照 那些 文件 的 记录 ,6.540666781253809e-11
 早 在 清 代 中叶 的 时候 ,2.5369235320379985e-12
 劳 氏 曾 定居 在 浙江 盐 官 镇 ,2.846885983282414e-12
 以 经商 营生 ,0.00013398960896910035
 是 当地 的 望族 ,9.52396342740162e-10
 咸 丰 初年 的 时候 ,0.0002857128074854551
 家族 中 的 一支 — — 也 就是 劳 铭 昌 的 祖先 — — 举 家 迁移 了 山东 莱 州 府 即 墨 县 ,2.777607754938132e-41
 搬家 的 原因 并 没有 可靠 的 记载 ,8.00117208373203e-15
 依照 劳 家人 自己 的 说法 ,3.1609297874435086e-08
 劳 氏 在 江 浙 一带 结了 仇家 ,3.148205574468012e-09
 因而 被迫 背井离乡 ,0.0009306742640075973
 但 根据 劳 铭 昌 的 推断 ,5.763603807228348e-12
 事实 可能 并非如此 ,3.384094754653129e-05
 各式各样 的 文史 材料 里 都 曾 提到 这家 人 有 一个 非常 古怪 的 习惯 — — 家族 里 的 一些 成员 经常 会 在 傍晚 驾驶 两 三 艘 船 出海 ,5.234755232736889e-67
 而且 直到 数 天后 的 午夜 或 凌晨 才 会 归来 ,1.9962479132641352e-21
 虽然 他们 宣称 这 只是 为了 出海 打 渔 ,2.909495802859507e-17
 但 那些 船 回来 时 通常 没有 什么 渔 获 ,7.341896128274729e-19
 结合 清 代 中后 叶 沿海 地区 走私 猖獗 的 情况 来看 ,7.437923085499026e-20
 劳 铭 昌 觉得 自己 的 祖先 很 可能 涉足 了 这一 不太 光彩 的 行当 ,5.949709288688535e-26
 或许 他们 引起 了 官府 的 注意 ,7.080869190889977e-14
 抑或 在 同业 间 结 下 了 仇怨 ,4.824704736379131e-15
 才 不得已 从 浙江 举 家 搬迁 到 山东 ,9.781259073849685e-17
 不论 真相 如何 ,0.0008687943262411346
 这一 家人 很快 就 融入 了 当地 的 生活 ,6.2610809927678125e-15
 青岛 与 即 墨 的 许多 文史 材料 都 记载 了 与 劳 家人 有关 的 事迹 ,1.55952558572271e-34
 而 其中 最 令人 印象 深刻 的 就是 他们 超乎寻常 的 渊博 学识 ,3.145657431254415e-26
 按照 那些 材料 的 说法 ,1.5470098821748136e-10
 劳 家人 经常 会 在 与 他人 谈天说地 时 提起 一些 鲜为人知 的 前朝 旧事 ,4.8483732329326726e-26
 或者 神秘 隐晦 的 奇异 见闻 ,1.3877497346432923e-10
 引得 众人 纷纷 侧 目 ,0.0001693827160493827
 而 更让人 惊异 的 是 ,2.7142965299088054e-06
 能够 掌握 这种 渊博 的 学识 的 并非 只是 一 两位 杰出 才 俊 — — 在 这个 家族 里 ,2.6890362079037954e-40
 不论 老少 ,0.02978723404255319
 所有人 都 能够 轻松 自如 地 谈论 起 一些 常人 根本 无从 辨别 真伪 的 历史 与 奇 谭 ,1.385534101566642e-32
 劳 铭 昌 曾 特意 从 一个 名叫 周 豫 科 的 私塾 老师 所 留下 的 《 正 心 斋 杂记 》 里 特别 摘录 了 一件 事情 ： 一个 名叫 劳 衡 才 的 十岁 孩童 有 一天 在 街头 与 一个 说 书 先生 争辩 明 将 戚 继 光 的 轶 事 ,1.021797269412974e-104
 最后 竟 将 那个 远近闻名 的 说 书 先生 辩驳 得 哑口无言 — — 而 按照 辈分 来说 ,1.0010866346063205e-33
 这个 劳 衡 才 就是 劳 铭 昌 上 六 辈 的 先人 ,3.004164356616873e-21
 类 似的 故事 频频 出 现在 各个 年代 的 各种 材料 里 — — 从 咸 丰 年间 的 文人 随笔 到 德国 占领 青岛 后 的 报纸 都 屡见不鲜 — — 唯一 更换 的 只有 故事 的 主角 而已 ,3.440043352348166e-76
 似乎 这种 渊博 的 学识 是 一种 写 进 了 基因 的 特征 ,1.2147436072154074e-28
 能够 在 这个 家族 里 代代相传 下去 ,5.563344468096034e-12
 许多 人 都 想要 了解 他们 博学 的 秘密 ,8.925524250728906e-18
 但 面对 此类 的 问题 时 ,1.90866278768071e-11
 劳 家 成员 的 反应 却 颇为 古怪 ,6.103527021133119e-15
 他们 始终 坚 称 这 世上 流传 着 一种 长生不死 的 方法 ,3.2628677378857446e-21
 而 所有 这些 学识 都 是 那些 长生不死 的 先人 传授给 他们 的 ,2.0195372995544396e-22
 人们 都 以为 这 只是 些 玩 笑话 ,2.074760065639818e-15
 但 劳 家 的 成员 却 表现 得 相当 认真 ,2.290963128107639e-20
 他们 甚至 会 在 谈到 兴起 时 神秘 地 暗示 劳 家 一直 保守 着 长生 的 秘密 ,9.643102573900259e-36
 而且 他们 家族 的 每 一 个人 都 是 长生不死 的 ,2.6663578037197932e-20
 当然 这 只是 劳 家人 的 一厢情愿 的 想法 而已 ,3.104988574814275e-19
 他们 并非 长生不死 ,1.2239902080783353e-05
 甚至 都 算不上 长寿 ,1.3973858428110674e-05
 因此 每当 劳 家中 有人 故 亡 ,3.325089641108845e-10
 一些 刻薄 的 好事之徒 拿来 当作 玩笑 ,1.6510536786716164e-09
 而 为了 维护 面子 ,4.8027444253859334e-08
 劳 家 的 成员 们 也 不会 举办 丧事 ,2.902336904916277e-17
 只是 安置 一口 棺材 ,1.3929499675113704e-05
 遮遮掩掩 地 下葬 了事 ,0.0009104180491041803
 也 有些 人 颇为 相信 劳 家 的 说辞 — — 而且 其中 的 大部分 都 是 形迹 可疑 的 外乡人 — — 他们 经常 会聚 集 在 劳 家 的 府邸 ,1.5502470204532673e-62
 举行 神秘莫测 的 仪式 ,1.904003416980568e-07
 或者 探讨 长生不死 的 方法 ,2.6628934908183857e-08
 这些 活动 自然 引来 了 不少 的 非议 ,3.4609676739481082e-18
 但 那 全都 是 些 没有 根据 的 坊间 传说 ,3.0469739900680633e-21
 而且 多半 自相矛盾 莫衷一是 ,0.00041613588110403385
 1898 年 年初 ,0.000748091603053435
 饱受 非议 的 劳 家 从 即 墨 县 迁 到 了 胶 澳 港 ,2.434599829976316e-26
 不过 这次 搬家 主要 还是 生意 上 的 缘故 ,7.271284771175518e-17
 因为 在 1897 年 11 月 德国 强占 胶 澳 后 ,3.5497749806533476e-16
 当时 的 大 当家 — — 劳 铭 昌 的 曾祖父 — — 劳 格 林 在 胶 澳 做 起 了 行栈 与 买办 的 行当 ,1.2599185842904998e-46
 而且 还 成 了 非常 有名 的 德语 翻译 ,3.2607714972650365e-17
 关于 自己 的 曾祖父 ,3.105744549604691e-08
 劳 铭 昌 有着 较为 详细 的 研究 ,1.9343783112198062e-09
 这 一方面 是因为 劳 格 林 在 青岛 有着 众多 生意 伙伴 与 广泛 的 关系网 ,4.1072956383121653e-32
 因而 在 各式各样 的 档案 记录 里 都 能 看见 他 的 名字 ； 另一方面 则 是因为 他 的 经历 与 后来 发生 在 劳 铭 昌 身上 的 事情 本身 就 有着 千丝万缕 的 关系 ,1.2626491836586434e-69
 在 检查 劳 铭 昌 留下来 的 文件 时 ,1.331353780068839e-13
 我 曾见 过 一张 劳 格 林 的 黑白 照片 ,4.441614240668835e-18
 照片 拍摄 的 时间 已经 不可 考 了 ,3.474240806020655e-14
 但 那里 面 的 劳 格 林 看起来 大约 四 五十岁 的 样子 ,1.5760213673454184e-24
 穿着 浅 色 的 长袍 与 深色 的 马褂 ,1.2859854705332225e-16
 留着 辫子 ,0.7
 头戴 一 顶 瓜皮帽 ,2.6946460603785767e-05
 脸上 流露 着 那个 时代 的 中国人 在 面对 照相机 时常 有的 局促 与 迷茫 ,1.315808972825109e-26
 由于 年代久远 ,0.0037234042553191487
 影像 并 不算 清晰 ,2.9930191972076785e-05
 但 照片 里 那 个人 依然 给 了 我 一种 很 难以 说 清楚 的 奇怪 感觉 ,9.893933753238663e-39
 就 好像 那 是 某些 早已 被 淡忘 ,1.0159194506226744e-15
 而且 最好 不要 再 提起 的 事物 ,6.586380154464653e-14
 劳 格 林 在 青岛 河 附近 购置 了 一座 小 院 ,1.9604736245523257e-21
 然后 陆陆续续 地 将 全家 二十多 口 人 全都 接到 了 新家 ,6.007171765249786e-21
 开始 了 新 的 生活 ,8.16251969437715e-08
 但 这次 搬家 并 没有 改变 劳 家 一贯 的 举动 ,3.447773123076151e-20
 在 1898 年 到 1905 年间 ,3.902229756505537e-11
 负责 治安 的 德 军 巡 防 队 经常 于 午夜 时分 在 码头 上 抓住 行迹 鬼祟 ,5.7329733809544956e-34
 试图 驾驶 渔船 偷偷 出海 的 劳 家 成员 ,1.8764819494126928e-14
 仅 记录 在 卷 的 档案 就 多 达 八 份 ,3.461229805070186e-26
 德国人 也 怀疑 劳 家 在 参与 走私 活动 ,1.9627542504639662e-16
 然而 他们 从未 在 那些 渔船 里 发现 任何 值钱 的 物件 ,6.117689737155981e-25
 也 没有 找到 走私 船上 常 有的 夹层 ,3.384780313311819e-14
 因此 德国 方面 虽然 经常 扣押 渔船 和 船上 的 乘员 ,2.0889515298228854e-23
 但 只要 劳 格 林 缴纳 罚金 出面 担保 ,5.225715680489822e-11
 也 没有 惹 出 太大 的 麻烦 ,1.4298921293282216e-13
 另一方面 ,1
 前往 劳 家 探讨 长生 之 术 的 人 也 有 了 明显 的 增加 ,5.461520124717998e-27
 俨 然 发展 成 了 一个 颇 具 规模 的 秘密 团体 ,8.595007231341558e-19
 在 1903 到 04 年 的 时候 ,4.800562894192653e-12
 这个 团体 甚至 打 出 了 一个 “ 长生 道 ” 的 名号 ,9.147269531437767e-27
 成 为了 半 公开 的 教派 ,2.872276560823064e-13
 在 这 一系列 事情 中 ,3.3954037966389117e-09
 最 让 劳 铭 昌 感兴趣 的 是 曾祖父 劳 格 林 的 态度 ,5.554370570800838e-22
 或许 是 为了 顾及 生意 伙伴 — — 尤其 是 那些 虔诚 的 德国 基督徒 们 — — 的 感受 ,1.5972783367958933e-36
 劳 格 林 一直 尽力 与 家族 的 其他 成员 以及 整个 “ 长生 道 ” 保持 适当 的 界线 ,9.486955193369092e-43
 并且 经常 出入 商 馆 与 行会 ,7.495385373753317e-11
 广 施 善 举 ,9.956458635703917e-05
 一直 试图 树立 良好 的 形象 ,3.1039602311312415e-10
 1903 年 的 夏天 ,2.1340520098245077e-06
 他 还 与 另 几个 商人 出 资 在 青岛 河上 修 了 一座 石桥 ,1.86502981204963e-29
 以 方便 港口 货物 与 码头 工人 的 往来 — — 这座 桥 在 抗日战争 期间 被 炸毁 了 ,1.0704527829352921e-36
 不过 桥 上 的 功德 碑 却 被 当时 的 一个 德国 记者 拍摄 了 下来 ,2.032488758400736e-31
 照片 里 还 看 得到 劳 格 林 的 名字 ,4.8683833241077224e-20
 到 了 1904 年 ,8.076920812704413e-06
 他 的 行栈 生意 已经 在 青岛 港 内 占据 了 相当 的 份额 ,7.148900788435118e-29
 而 他 本人 也 在 青岛 市 中华 商务 公 局 里 兼任 了 董事 的 职务 ,1.0287841626571878e-34
 但 在 私 底下 ,1.361554026276285e-07
 劳 格 林 似乎 也 涉足 了 某些 神秘 的 活动 ,2.0106516227949482e-19
 有些 当时 留下 的 书信 显示 ,3.226151403097904e-11
 劳 格 林 似乎 经常 委托 自己 的 生意 伙伴 在 国外 搜罗 特别 罕见 的 神秘 著作 ,1.8286539908243732e-31
 或是 购买 一些 神秘 的 物件 ,6.508865942697553e-12
 另 一件 值得一提 的 事情 发生 在 1902 年 ,2.658802993313644e-14
 那年 秋天 ,0.09999999999999999
 劳 格 林 买下 了 自家 小 院 周围 的 地产 ,3.9801179262514333e-19
 并且 找 来 了 一群 外地 工人 对 院子 进行 了 扩建 ,7.493295860231962e-23
 这项 工程 持续 了 将近 三年 半 的 时间 ,5.328371548545217e-16
 等到 1906 年 开春 的 时候 ,5.767569820317072e-08
 那 几 间 平房 已经 变成 了 一座 高墙 大院 ,6.032742946916822e-18
 院子 里 总 共有 三 座 欧 式 风格 的 小楼 ,4.4907402133162044e-21
 但 整体 的 布局 却是 按照 传统 的 三 合 院 形式 修建 的 — — 从 院 门 进去 就是 宽敞 的 庭院 ,8.285137386976876e-51
 庭院 的 北面 是 一座 两层 高 的 主楼 ,4.076407072329521e-17
 两侧 则 是 两座 单 层 的 厢 房 ,3.025003179418417e-14
 组合 成 一个 “ 凹 ” 字形 的 结构 ,8.538921167806837e-18
 三 座 建筑 都 是 用 的 都 是 崂 山 采 的 花岗岩 ,5.121292553269198e-28
 而且 据说 还 得到 了 德国 设计师 的 参考 ,6.049163022342771e-20
 但 很多 人 都 觉得 那座 院子 的 院墙 修建 得 太 高大 了 ,8.40353409994328e-26
 将 整座 宅子 围 得 密不透风 ,2.208648603783736e-09
 就 好像 要 提防 外人 窥视 一样 ,2.4955015894772712e-09
 还有 少数几个 与 劳 格 林 熟识 的 人 在 书信 里 提到 了 一个 很难 引起 外人 注意 但 却 非常 奇怪 的 现象 — — 劳 格 林 为了 新 建 大院 而 开 挖 的 土方 似乎 太 多 了 一点 ,1.2928103092255924e-83
 根据 他们 的 观察 ,6.113951400704066e-08
 劳 格 林 肯定 在 院子 里 挖 了 一个 很大 的 地窖 ,1.4558280664750261e-25
 因为 工人 们 运走 的 泥土 似乎 远远 超过 了 修建 三 座 小楼 所 需要 开 挖 的 地基 土方 ,1.4991593047294566e-40
 但 这件 事情 并 没有 得到 任何 的 证实 ,4.621636883851308e-19
 那些 院墙 太过 高大 ,0.0002831785345717234
